2023-03-28/21:59:28		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:29		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:29		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:29		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:29		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:29		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:29		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:30		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:30		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:30		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:30		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:30		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:30		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:30		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:31		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:31		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:31		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:31		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:32		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:32		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:32		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:32		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:32		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:32		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:32		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:32		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:33		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:33		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:33		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:33		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:33		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:33		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:33		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:34		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:34		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:34		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:34		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:34		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:34		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:35		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:35		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:35		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:35		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:35		 wafer_13012020_090817.csv: File loaded successfully!!
2023-03-28/21:59:35		 wafer_13012020_090817.csv: File loaded successfully!!
